language,task,tokens,lines,sloc,chars
Bash/Shell,Middle-three-digits,196,24,21,481
Bash/Shell,Monty-Hall-problem,776,73,51,2367
Bash/Shell,Mutual-recursion,176,33,30,378
Bash/Shell,N-queens-problem,396,79,63,1425
Bash/Shell,Nth,153,17,16,340
Bash/Shell,Number-reversal-game,620,101,75,1684
Bash/Shell,Palindrome-detection,32,6,5,107
Bash/Shell,Pangram-checker,73,11,10,256
Bash/Shell,Parsing-RPN-calculator-algorithm,606,66,57,1931
Bash/Shell,Pascals-triangle,126,19,17,387
Bash/Shell,Pi,488,49,40,1690
Bash/Shell,Population-count,245,34,31,613
Bash/Shell,Power-set,38,2,1,94
Bash/Shell,Primality-by-trial-division,179,16,11,452
Bash/Shell,Range-expansion,151,20,15,426
Bash/Shell,Range-extraction,212,31,24,660
Bash/Shell,Real-constants-and-functions,160,16,15,428
Bash/Shell,Reverse-a-string,47,4,2,114
Bash/Shell,Roman-numerals-Decode,155,25,19,361
Bash/Shell,Rot-13,103,6,5,281
Bash/Shell,Run-length-encoding,324,46,39,1095
Bash/Shell,Search-a-list,202,16,14,601
Bash/Shell,Short-circuit-evaluation,106,20,16,255
Bash/Shell,Sierpinski-carpet,185,23,22,427
Bash/Shell,Sierpinski-triangle,403,46,14,1342
Bash/Shell,Sieve-of-Eratosthenes,291,34,20,801
Bash/Shell,Sleep,27,6,5,107
Bash/Shell,Sorting-algorithms-Bubble-sort,376,41,39,895
Bash/Shell,Sorting-algorithms-Insertion-sort,484,82,48,1577
Bash/Shell,Stack,196,33,27,525
Bash/Shell,String-concatenation,70,10,7,259
Bash/Shell,Substring,192,18,15,378
Bash/Shell,Sum-and-product-of-an-array,49,8,7,110
Bash/Shell,Sum-multiples-of-3-and-5,160,18,15,425
Bash/Shell,Symmetric-difference,350,44,37,830
Bash/Shell,Take-notes-on-the-command-line,60,14,11,157
Bash/Shell,Temperature-conversion,139,13,10,320
Bash/Shell,The-Twelve-Days-of-Christmas,247,34,29,795
Bash/Shell,Towers-of-Hanoi,99,15,12,258
C,100-doors,147,15,11,350
C,100-prisoners,909,140,110,2936
C,24-game,1682,282,237,4864
C,99-bottles-of-beer,266,31,20,757
C,ABC-problem,334,42,32,849
C,Accumulator-factory,205,19,16,579
C,Ackermann-function,606,101,61,1830
C,Almost-prime,164,31,23,379
C,Anagrams,1533,161,140,3849
C,Anonymous-recursion,188,30,24,644
C,Anti-primes,182,27,24,520
C,Arbitrary-precision-integers-included-,460,66,53,1389
C,Arithmetic-Complex,394,62,51,1381
